;Ano;Turno;Localidade;Cargo;Nº;Candidato;Nome Urna;Partido / Coligação;Votação;Situação
;2012;1º Turno;Água Branca;Prefeito;40;Tarcisio Alves Firmino;Tarcisio Firmino;PSB / AGUA BRANCA EM PAZ;2533;Eleito
;2012;1º Turno;Água Branca;Prefeito;15;Everton Firmino Batista;Tom;PMDB / ÁGUA BRANCA UNIDA PARA MUDAR;2448;Não eleito
;2012;1º Turno;Água Branca;Vereador;15844;Edilson Soares Batista;Cigano;PMDB / ÁGUA BRANCA UNIDA PARA MUDAR;499;Eleito por QP
;2012;1º Turno;Água Branca;Vereador;25611;Miraci de Sousa Martins;Mira de Peba;DEM / AGUA BRANCA EM PAZ;433;Eleito por QP
;2012;1º Turno;Água Branca;Vereador;25603;Akacio Pereira de Lima;Kacin da Lagoinha;DEM / AGUA BRANCA EM PAZ;393;Eleito por QP
;2012;1º Turno;Água Branca;Vereador;25678;Jose Vianeis Eufrasio Pereira;Zé Vianey;DEM / AGUA BRANCA EM PAZ;380;Eleito por QP
;2012;1º Turno;Água Branca;Vereador;25555;Pedro Jorge Oliveira Gama;Pedro Jorge;DEM / AGUA BRANCA EM PAZ;376;Eleito por QP
;2012;1º Turno;Água Branca;Vereador;25608;Marluce Pereira Veras;Professora Marluce;DEM / AGUA BRANCA EM PAZ;337;Eleito por QP
;2012;1º Turno;Água Branca;Vereador;15111;Maria do Desterro Souza Oliveira;Maria de Damião Belino;PMDB / ÁGUA BRANCA UNIDA PARA MUDAR;333;Eleito por QP
;2012;1º Turno;Água Branca;Vereador;40222;Jose Nery Moura;Nery;PSB / AGUA BRANCA EM PAZ;331;Eleito por QP
;2012;1º Turno;Água Branca;Vereador;40123;Raimundo Mendes da Silva;Nena da Pipoca;PSB / AGUA BRANCA EM PAZ;188;Suplente
;2012;1º Turno;Água Branca;Vereador;25610;Rivonaldo Leonardo da Silva;Rivonaldo Acs;DEM / AGUA BRANCA EM PAZ;174;Suplente
;2012;1º Turno;Água Branca;Vereador;45123;Eilson do Carmo Lima;Eilson de Queno;PSDB / ÁGUA BRANCA UNIDA PARA MUDAR;174;Eleito por média
;2012;1º Turno;Água Branca;Vereador;15610;Antonio Caldeira do Santos;Antonio Caldeira;PMDB / ÁGUA BRANCA UNIDA PARA MUDAR;157;Suplente
;2012;1º Turno;Água Branca;Vereador;25999;Edson Raimundo da Silva;Edson Raimundo;DEM / AGUA BRANCA EM PAZ;156;Suplente
;2012;1º Turno;Água Branca;Vereador;11111;Geraldo Zuza Sobrinho;Geraldo Zuza;PP / AGUA BRANCA EM PAZ;147;Suplente
;2012;1º Turno;Água Branca;Vereador;15605;Reginaldo Chaves Filho;Reginaldin;PMDB / ÁGUA BRANCA UNIDA PARA MUDAR;124;Suplente
;2012;1º Turno;Água Branca;Vereador;15000;Elza Maria de Almeida Rodrigues;Elza de Nego;PMDB / ÁGUA BRANCA UNIDA PARA MUDAR;98;Suplente
;2012;1º Turno;Água Branca;Vereador;25111;Joao Vianeis de Freeitas;Garão;DEM / AGUA BRANCA EM PAZ;77;Suplente
;2012;1º Turno;Água Branca;Vereador;45678;Joao de Assis Batista de Lima;Joao Professor;PSDB / ÁGUA BRANCA UNIDA PARA MUDAR;73;Suplente
;2012;1º Turno;Água Branca;Vereador;25222;Vicente Chaves Neto;Vicentim;DEM / AGUA BRANCA EM PAZ;44;Suplente
;2012;1º Turno;Água Branca;Vereador;11456;Maria Eliana de Azevedo;Eliana;PP / AGUA BRANCA EM PAZ;0;Suplente
