"Abrangência";"Qt Aptos";"Qt Aptos Totalizados";"Comparecimento";"Abstenção";"Qt Seções";"Qt Seções Totalizadas"
"JACI";"5.041";"5.041";"4.461";"580";"14";"14"
"CAMPOS DOS GOYTACAZES";"344.366";"344.366";"290.498";"53.868";"988";"988"
"MACAÉ";"144.044";"144.044";"118.619";"25.425";"401";"401"
"VALE VERDE";"3.364";"3.364";"3.070";"294";"11";"11"
"JAGUARIAÍVA";"25.093";"25.093";"20.925";"4.168";"73";"73"
"ITAPISSUMA";"15.681";"15.681";"14.870";"811";"50";"50"
"PEDREIRAS";"29.883";"29.883";"23.040";"6.843";"106";"106"
"PAU D'ARCO DO PIAUÍ";"4.175";"4.175";"3.662";"513";"15";"15"
"SÃO LUIS DO PIAUÍ";"2.417";"2.417";"2.107";"310";"7";"7"
"RODOLFO FERNANDES";"4.471";"4.471";"4.173";"298";"15";"15"
"IPIAÇU";"3.738";"3.738";"3.358";"380";"12";"12"
"GUAPÉ";"10.330";"10.330";"8.734";"1.596";"34";"34"
"SÃO FRANCISCO DE PAULA";"21.592";"21.592";"19.101";"2.491";"83";"83"
"SÃO JOÃO DO OESTE";"4.913";"4.913";"4.611";"302";"17";"17"
"BALIZA";"3.256";"3.256";"2.910";"346";"11";"11"
"FÁTIMA";"17.711";"17.711";"14.347";"3.364";"51";"51"
"SANTA GERTRUDES";"16.986";"16.986";"14.884";"2.102";"45";"45"
"ALFREDO MARCONDES";"3.571";"3.571";"3.217";"354";"10";"10"
"CACOAL";"57.848";"57.848";"45.376";"12.472";"163";"163"
"SANTA FÉ DO SUL";"23.557";"23.557";"18.900";"4.657";"66";"66"
"CAXAMBU";"17.909";"17.909";"14.039";"3.870";"47";"47"
"TAIOBEIRAS";"24.102";"24.102";"19.250";"4.852";"75";"75"
"BALNEÁRIO PINHAL";"8.597";"8.597";"7.047";"1.550";"24";"24"
"FLORIANO";"37.401";"37.401";"34.231";"3.170";"128";"128"
"CRISTIANÓPOLIS";"3.074";"3.074";"2.858";"216";"10";"10"
"PEDRO AFONSO";"7.550";"7.550";"6.669";"881";"37";"37"
"LUPÉRCIO";"3.783";"3.783";"3.230";"553";"11";"11"
"NOVA PORTEIRINHA";"6.239";"6.239";"5.456";"783";"22";"22"
"SERRA DOURADA";"15.293";"15.293";"13.014";"2.279";"53";"53"
"JOCA CLAUDINO";"2.532";"2.532";"2.161";"371";"9";"9"
"MANACAPURU";"62.080";"62.080";"49.518";"12.562";"189";"189"
"ANGELIM";"8.334";"8.334";"6.671";"1.663";"24";"24"
"PEDRAS GRANDES";"3.937";"3.937";"3.656";"281";"13";"13"
"COLINAS";"28.495";"28.495";"22.390";"6.105";"87";"87"
"IPOJUCA";"63.161";"63.161";"54.727";"8.434";"163";"163"
"FLORESTA";"27.186";"27.186";"23.578";"3.608";"79";"79"
"ADOLFO";"3.515";"3.515";"3.152";"363";"10";"10"
"CABECEIRA GRANDE";"5.488";"5.488";"4.794";"694";"16";"16"
"CONQUISTA";"4.978";"4.978";"4.637";"341";"19";"19"
"AREIA BRANCA";"31.278";"31.278";"29.121";"2.157";"103";"103"
