;Ano;Turno;Localidade;Cargo;Nº;Candidato;Nome Urna;Partido / Coligação;Votação;Situação
;2016;1º Turno;ÁGUA BRANCA;Prefeito;15;EVERTON FIRMINO BATISTA;TOM;PMDB;2.974;Eleito
;2016;1º Turno;ÁGUA BRANCA;Vereador;11111;EDILSON SOARES BATISTA;CIGANO;PP / O TRABALHO NÃO PODE PARAR;938;Eleito por QP
;2016;1º Turno;ÁGUA BRANCA;Vereador;25555;PEDRO JORGE OLIVEIRA GAMA;PEDRO JORGE;DEM / O TRABALHO NÃO PODE PARAR;476;Eleito por QP
;2016;1º Turno;ÁGUA BRANCA;Vereador;15123;WELITOM CORREIA DE SOUSA;TINTIM;PMDB;440;Eleito por QP
;2016;1º Turno;ÁGUA BRANCA;Vereador;90111;LUIZ GUSTAVO ANDRADE MARTINS;GUSTAVO DE MIRA;PROS / O TRABALHO NÃO PODE PARAR;392;Eleito por QP
;2016;1º Turno;ÁGUA BRANCA;Vereador;15444;JOSE CORREIA DE LIMA;NILO FERREIRO;PMDB;378;Eleito por QP
;2016;1º Turno;ÁGUA BRANCA;Vereador;25608;MARLUCE PEREIRA VERAS DE BRITO;MARLUCE PROFESSORA;DEM / O TRABALHO NÃO PODE PARAR;372;Eleito por QP
;2016;1º Turno;ÁGUA BRANCA;Vereador;40222;JOSE NERY MOURA;NERY;PSB / O TRABALHO NÃO PODE PARAR;361;Eleito por QP
;2016;1º Turno;ÁGUA BRANCA;Vereador;15111;MARIA DO DESTERRO SOUZA OLIVEIRA DE ALMEIDA;MARIA DE DAMIÃO;PMDB;351;Eleito por QP
;2016;1º Turno;ÁGUA BRANCA;Vereador;90123;AKACIO PEREIRA DE LIMA;KACIN DA LAGOINHA;PROS / O TRABALHO NÃO PODE PARAR;269;Eleito por média
;2016;1º Turno;AGUIAR;Prefeito;14;LOURIVAL LACERDA LEITE FILHO;LOURIVAL;PTB / AGUIAR EM BOAS MAOS;2.656;Eleito
;2016;1º Turno;AGUIAR;Vereador;70000;MARCOS DANTAS PEDRO;MARCOS DE DEDÉ;PT do B / AGUIAR EM BOAS MAOS;411;Eleito por QP
;2016;1º Turno;AGUIAR;Vereador;12345;JOAO PAULO TERCEIRO;PAULO CASSIMIRO;PDT / AGUIAR EM BOAS MAOS;401;Eleito por QP
;2016;1º Turno;AGUIAR;Vereador;65123;ANTONIO JUNIOR MAIA DANTAS;JUNIOR MAIA;PC do B / AGUIAR EM BOAS MAOS;360;Eleito por QP
;2016;1º Turno;AGUIAR;Vereador;40000;FRANCISCA ADELANIA PAULINO DA SILVA;ADELANIA;PSB / AGUIAR EM BOAS MAOS;345;Eleito por QP
;2016;1º Turno;AGUIAR;Vereador;35888;SEBASTIAO SALVIANO DA SILVA;BASTO;PMB / AGUIAR EM BOAS MAOS;330;Eleito por QP
;2016;1º Turno;AGUIAR;Vereador;10000;FRANCISCO BARBOSA SOBRINHO;CHARLES;PRB / AGUIAR EM BOAS MAOS;330;Eleito por QP
;2016;1º Turno;AGUIAR;Vereador;14789;MARIA PEREIRA RODRIGUES VIANA;MARIA DE CHIQUINHO;PTB / AGUIAR EM BOAS MAOS;326;Eleito por QP
;2016;1º Turno;AGUIAR;Vereador;45123;MARIA DE LOURDES SOUSA;LOURDES REGINA;PSDB / AGUIAR EM BOAS MAOS;276;Eleito por média
;2016;1º Turno;AGUIAR;Vereador;28000;MARIA DE FATIMA VIEIRA CACIMIRO;FATIMA VIEIRA CACIMIRO;PRTB / Por um Novo Aguiar;120;Eleito por QP
;2016;1º Turno;ALAGOA GRANDE;Prefeito;55;ANTONIO DA SILVA SOBRINHO;SOBRINHO;PSD / MUDANÇA E TRABALHO;7.474;Eleito
;2016;1º Turno;ALAGOA GRANDE;Vereador;45123;FABRÍCIO DA SILVA FERREIRA;FABRÍCIO FORTUNATO;PSDB / ALAGOA GRANDE UNIDA II;960;Eleito por QP
;2016;1º Turno;ALAGOA GRANDE;Vereador;22123;RONALDO MARQUES LINS;RONALDO;PR / ALAGOA GRANDE UNIDA II;952;Eleito por QP
;2016;1º Turno;ALAGOA GRANDE;Vereador;36666;MARCELO DOS SANTOS ALMEIDA;MARCELO DE CANAFÍSTULA;PTC / ALAGOA GRANDE UNIDA II;887;Eleito por QP
;2016;1º Turno;ALAGOA GRANDE;Vereador;40000;LUIS LUCINDO DA SILVA;LUIS LUCINDO;PSB / PSB/PSL/PPS/PP/PEN/PMB/SD;860;Eleito por QP
;2016;1º Turno;ALAGOA GRANDE;Vereador;77777;JOSE FABIANO NASCIMENTO DA LUZ;FABIANO LUZ;SD / PSB/PSL/PPS/PP/PEN/PMB/SD;823;Eleito por QP
;2016;1º Turno;ALAGOA GRANDE;Vereador;17555;JAILTON PEDRO DA SILVA;JAILTON DE ZUMBI;PSL / PSB/PSL/PPS/PP/PEN/PMB/SD;813;Eleito por QP
;2016;1º Turno;ALAGOA GRANDE;Vereador;22333;JOSÉ RIBEIRO AGRA FILHO;DEDA RIBEIRO;PR / ALAGOA GRANDE UNIDA II;755;Eleito por QP
;2016;1º Turno;ALAGOA GRANDE;Vereador;51111;ERNANI CAVALCANTE CHAVES FILHO;DUCA CHAVES;PEN / PSB/PSL/PPS/PP/PEN/PMB/SD;725;Eleito por QP
;2016;1º Turno;ALAGOA GRANDE;Vereador;17111;ADAUTO JOSE SILVA COUTINHO;ADAUTO DE MARISA;PSL / PSB/PSL/PPS/PP/PEN/PMB/SD;715;Eleito por média
;2016;1º Turno;ALAGOA GRANDE;Vereador;14000;CLÁUDIO LÚCIO BARBOSA;CLÁUDIO;PTB / MUDANÇA E TRABALHO;610;Eleito por QP
;2016;1º Turno;ALAGOA GRANDE;Vereador;70000;EDVALDO DE VASCONCELOS VIEIRA DA ROCHA;EDVALDO VIEIRA;PT do B / MUDANÇA E TRABALHO;346;Eleito por QP
;2016;1º Turno;ALAGOA NOVA;Prefeito;45;JOSÉ UCHÔA DE AQUINO LEITE;AQUINO;PSDB / Alagoa Nova de Verdade;6.174;Eleito
;2016;1º Turno;ALAGOA NOVA;Vereador;14000;RAMILTON CAMILO DINIZ;RAMILTON;PTB / Alagoa Nova de Verdade 1;716;Eleito por QP
;2016;1º Turno;ALAGOA NOVA;Vereador;15222;ICARO TEIXEIRA ROCHA;ICARO TEIXEIRA;PMDB / TRABALHANDO PARA O BEM DE ALAGOA NOVA 1;643;Eleito por QP
;2016;1º Turno;ALAGOA NOVA;Vereador;15789;MOACI PIMENTEL DE SOUZA;MOACI PIMENTEL;PMDB / TRABALHANDO PARA O BEM DE ALAGOA NOVA 1;547;Eleito por QP
;2016;1º Turno;ALAGOA NOVA;Vereador;45111;JOVENTINO MELGUIADES JUNIOR;DIDA DE JOVENTINO;PSDB / Alagoa Nova de Verdade 1;533;Eleito por QP
;2016;1º Turno;ALAGOA NOVA;Vereador;13000;PAULO HENRIQUES HERCULANO DE LIMA;PAULO HENRIQUES;PT / TRABALHANDO PARA O BEM DE ALAGOA NOVA 2;531;Eleito por QP
;2016;1º Turno;ALAGOA NOVA;Vereador;70000;LUCIANO HENRIQUE DE LIMA;LUCIANO DE TITA;PT do B / Alagoa Nova de Verdade 2;527;Eleito por QP
;2016;1º Turno;ALAGOA NOVA;Vereador;15000;SEVERINO RICARDO DA SILVA;BIU RICARDO;PMDB / TRABALHANDO PARA O BEM DE ALAGOA NOVA 1;489;Eleito por média
;2016;1º Turno;ALAGOA NOVA;Vereador;40111;EVERALDO DOS SANTOS;EVERALDO DOS SANTOS;PSB / TRABALHANDO PARA O BEM DE ALAGOA NOVA 2;449;Eleito por QP
;2016;1º Turno;ALAGOA NOVA;Vereador;14444;JOSIVAM FELIX DOS SANTOS;PILOTO;PTB / Alagoa Nova de Verdade 1;425;Eleito por QP
