UF;Município;Limite de Gasto Prefeito 1º Turno;Limite de Gasto Prefeito 2º Turno;Limite de Gasto Vereador;Limite Contratação Prefeito;Limite Contratação Vereador;Eleitorado Apto 
AC;ACRELÂNDIA;108039,06;-;10803,91;95;48;9506 
AC;ASSIS BRASIL;108039,06;-;10803,91;55;28;5505 
AC;BRASILÉIA;108039,06;-;15201,10;176;88;17613 
AC;BUJARI;108039,06;-;10803,91;79;40;7888 
AC;CAPIXABA;108039,06;-;10803,91;79;40;7882 
AC;CRUZEIRO DO SUL;568224,37;-;21313,31;324;143;54101 
AC;EPITACIOLÂNDIA;108039,06;-;10803,91;116;58;11559 
AC;FEIJÓ;108039,06;-;16308,97;197;99;19739 
AC;JORDÃO;108039,06;-;10803,91;47;24;4724 
AC;MÂNCIO LIMA;108039,06;-;15240,25;120;60;11981 
AC;MANOEL URBANO;108039,06;-;10803,91;67;34;6711 
AC;MARECHAL THAUMATURGO;108039,06;-;10803,91;95;48;9458 
AC;PLÁCIDO DE CASTRO;200004,09;-;33472,81;136;68;13586 
AC;PORTO ACRE;108039,06;-;10803,91;113;57;11331 
AC;PORTO WALTER;108039,06;-;10803,91;59;30;5884 
AC;RIO BRANCO;222066,85;66620,06;119325,63;511;143;241196 
AC;RODRIGUES ALVES;108039,06;-;10803,91;111;56;11062 
AC;SANTA ROSA DO PURUS;108039,06;-;10803,91;32;16;3157 
AC;SENA MADUREIRA;241351,73;-;49204,07;276;138;27557 
AC;SENADOR GUIOMARD;152695,09;-;19364,88;162;81;16206 
AC;TARAUACÁ;108039,06;-;33236,86;249;125;24900 
AC;XAPURI;108039,06;-;10803,91;109;55;10906 
AL;ÁGUA BRANCA;165440,79;-;26160,21;145;73;14518 
AL;ANADIA;187903,10;-;22787,43;126;63;12558 
AL;ARAPIRACA;1963837,57;-;83333,25;406;203;135998 
AL;ATALAIA;287893,83;-;33408,14;300;150;30194 
AL;BARRA DE SANTO ANTÔNIO;108039,06;-;39396,03;117;59;11680 
AL;BARRA DE SÃO MIGUEL;359370,80;-;22082,21;65;33;6520 
AL;BATALHA;249545,03;-;10803,91;120;60;12020 
AL;BELÉM;108039,06;-;10803,91;48;24;4780 
AL;BELO MONTE;108039,06;-;21816,46;52;26;5154 
AL;BOCA DA MATA;151385,62;-;60012,58;196;98;19640 
AL;BRANQUINHA;157670,47;-;10803,91;82;41;8158 
AL;CACIMBINHAS;137760,38;-;18150,38;79;40;7929 
AL;CAJUEIRO;159987,84;-;10803,91;144;72;14437 
AL;CAMPESTRE;108039,06;-;10803,91;54;27;5423 
AL;CAMPO ALEGRE;444545,95;-;21253,16;234;117;23369 
AL;CAMPO GRANDE;108039,06;-;10803,91;81;41;8106 
AL;CANAPI;108039,06;-;10803,91;130;65;13019 
AL;CAPELA;108039,06;-;10803,91;128;64;12753 
AL;CARNEIROS;108039,06;-;10803,91;64;32;6388 
AL;CHÃ PRETA;108039,06;-;10803,91;59;30;5873 
AL;COITÉ DO NÓIA;139250,80;-;17949,66;83;42;8346 
AL;COLÔNIA LEOPOLDINA;174414,30;-;15309,91;146;73;14574 
AL;COQUEIRO SECO;108039,06;-;10803,91;45;23;4508 
AL;CORURIPE;494185,02;-;25284,79;309;155;38541 
AL;CRAÍBAS;163977,83;-;21890,24;174;87;17375 
AL;DELMIRO GOUVEIA;449093,95;-;48850,79;306;153;36137 
AL;DOIS RIACHOS;148203,16;-;15763,09;85;43;8517 
AL;ESTRELA DE ALAGOAS;225652,52;-;16999,05;117;59;11658 
AL;FEIRA GRANDE;178601,87;-;33816,46;167;84;16651 
AL;FELIZ DESERTO;108039,06;-;10803,91;35;18;3504 
AL;FLEXEIRAS;108039,06;-;13427,89;85;43;8541 
AL;GIRAU DO PONCIANO;108039,06;-;18458,78;252;126;25167 
AL;IBATEGUARA;108039,06;-;10803,91;108;54;10805 
AL;IGACI;108039,06;-;10803,91;192;96;19184 
AL;IGREJA NOVA;153657,15;-;29547,91;167;84;16720 
AL;INHAPI;108039,06;-;10803,91;122;61;12219 
AL;JACARÉ DOS HOMENS;108039,06;-;10803,91;47;24;4748 
AL;JACUÍPE;108039,06;-;10803,91;54;27;5414 
AL;JAPARATINGA;108039,06;-;18564,83;63;32;6308 
AL;JARAMATAIA;108039,06;-;10803,91;45;23;4548 
AL;JEQUIÁ DA PRAIA;247158,34;-;31358,58;73;37;7344 
AL;JOAQUIM GOMES;108039,06;-;23014,02;129;65;12859 
AL;JUNDIÁ;108039,06;-;17882,47;42;21;4194 
AL;JUNQUEIRO;179919,82;-;23298,39;185;93;18463 
AL;LAGOA DA CANOA;108039,06;-;22568,57;136;68;13609 
AL;LIMOEIRO DE ANADIA;318306,30;-;23911,69;172;86;17189 
AL;MACEIÓ;4504729,69;1351418,91;220429,76;850;238;579962 
AL;MAJOR ISIDORO;352778,13;-;14115,06;143;72;14314 
AL;MAR VERMELHO;183628,75;-;21010,93;33;17;3266 
AL;MARAGOGI;212863,43;-;24801,47;189;95;18853 
AL;MARAVILHA;152228,31;-;10803,91;77;39;7692 
AL;MARECHAL DEODORO;796775,67;-;56454,67;305;153;34816 
AL;MARIBONDO;163796,19;-;25849,61;102;51;10214 
AL;MATA GRANDE;108039,06;-;42071,01;165;83;16524 
AL;MATRIZ DE CAMARAGIBE;108039,06;-;16872,17;179;90;17896 
AL;MESSIAS;170732,37;-;14259,54;126;63;12555 
AL;MINADOR DO NEGRÃO;108039,06;-;10803,91;44;22;4428 
AL;MONTEIRÓPOLIS;108039,06;-;10803,91;57;29;5697 
AL;MURICI;108039,06;-;10803,91;187;94;18670 
AL;NOVO LINO;108039,06;-;10803,91;98;49;9834 
AL;OLHO D'ÁGUA DAS FLORES;190046,76;-;10803,91;144;72;14424 
AL;OLHO D'ÁGUA DO CASADO;108039,06;-;10803,91;68;34;6811 
AL;OLHO D'ÁGUA GRANDE;108039,06;-;10803,91;44;22;4364 
AL;OLIVENÇA;108039,06;-;10803,91;87;44;8712 
AL;OURO BRANCO;108039,06;-;10803,91;77;39;7747 
AL;PALESTINA;108039,06;-;10803,91;43;22;4258 
AL;PALMEIRA DOS ÍNDIOS;467709,70;-;34057,23;319;160;49320 
AL;PÃO DE AÇÚCAR;215372,99;-;10803,91;179;90;17904 
AL;PARICONHA;199031,82;-;10803,91;80;40;7954 
AL;PARIPUEIRA;108039,06;-;15497,44;94;47;9439 
AL;PASSO DE CAMARAGIBE;169288,22;-;35433,20;111;56;11135 
AL;PAULO JACINTO;108039,06;-;18227,10;61;31;6127 
AL;PENEDO;405229,47;-;26685,37;311;156;40897 
AL;PIAÇABUÇU;108039,06;-;19531,82;129;65;12891 
AL;PILAR;817819,39;-;64258,98;251;126;25104 
AL;PINDOBA;108039,06;-;17990,47;25;13;2479 
AL;PIRANHAS;200267,71;-;19147,47;172;86;17213 
AL;POÇO DAS TRINCHEIRAS;108039,06;-;10803,91;97;49;9693 
AL;PORTO CALVO;487627,90;-;13983,13;199;100;19892 
AL;PORTO DE PEDRAS;141054,64;-;21040,28;66;33;6640 
AL;PORTO REAL DO COLÉGIO;108039,06;-;13907,02;147;74;14681 
AL;QUEBRANGULO;108039,06;-;10803,91;96;48;9606 
AL;RIO LARGO;326696,30;-;43726,55;322;161;52328 
AL;ROTEIRO;108039,06;-;10803,91;50;25;4994 
AL;SANTA LUZIA DO NORTE;108039,06;-;10803,91;57;29;5658 
AL;SANTANA DO IPANEMA;146835,26;-;25112,33;300;150;30078 
AL;SANTANA DO MUNDAÚ;108039,06;-;15492,49;83;42;8259 
AL;SÃO BRÁS;108039,06;-;17337,92;59;30;5852 
AL;SÃO JOSÉ DA LAJE;257039,32;-;15570,02;165;83;16477 
AL;SÃO JOSÉ DA TAPERA;168640,17;-;32668,15;201;101;20093 
AL;SÃO LUÍS DO QUITUNDE;200952,53;-;16213,85;217;109;21707 
AL;SÃO MIGUEL DOS CAMPOS;2311599,47;-;61797,69;308;154;38370 
AL;SÃO MIGUEL DOS MILAGRES;108039,06;-;23666,64;66;33;6552 
AL;SÃO SEBASTIÃO;469325,15;-;30182,55;241;121;24135 
AL;SATUBA;108039,06;-;13652,61;99;50;9916 
AL;SENADOR RUI PALMEIRA;205859,37;-;24717,10;87;44;8743 
AL;TANQUE D'ARCA;108039,06;-;17041,18;52;26;5154 
AL;TAQUARANA;228546,38;-;29341,09;133;67;13315 
AL;TEOTÔNIO VILELA;257266,00;-;52840,57;277;139;27739 
AL;TRAIPU;161853,09;-;10803,91;172;86;17188 
AL;UNIÃO DOS PALMARES;297773,26;-;32331,43;313;157;43032 
AL;VIÇOSA;197532,62;-;17001,88;193;97;19278 
AM;ALVARÃES;108039,06;-;10803,91;97;49;9727 
AM;AMATURÁ;108039,06;-;10803,91;55;28;5467 
AM;ANAMÃ;613178,16;-;15857,66;70;35;6970 
AM;ANORI;223610,79;-;10803,91;97;49;9663 
AM;APUÍ;108039,06;-;19489,15;102;51;10164 
AM;ATALAIA DO NORTE;135185,73;-;10803,91;77;39;7687 
AM;AUTAZES;152431,18;-;19382,00;238;119;23840 
AM;BARCELOS;108039,06;-;18758,69;100;50;10025 
AM;BARREIRINHA;108039,06;-;26632,46;181;91;18134 
AM;BENJAMIN CONSTANT;242837,36;-;10803,91;195;98;19481 
AM;BERURI;221819,05;-;20649,15;112;56;11193 
AM;BOA VISTA DO RAMOS;108039,06;-;10803,91;104;52;10434 
AM;BOCA DO ACRE;275893,92;-;18127,32;203;102;20292 
AM;BORBA;108039,06;-;10803,91;201;101;20147 
AM;CAAPIRANGA;108039,06;-;10803,91;81;41;8125 
AM;CANUTAMA;141472,51;-;13725,64;83;42;8323 
AM;CARAUARI;238951,07;-;72554,24;186;93;18603 
AM;CAREIRO;283092,98;-;24651,47;198;99;19786 
AM;CAREIRO DA VÁRZEA;108039,06;-;10803,91;144;72;14411 
AM;COARI;1391726,59;-;68577,27;319;160;48681 
AM;CODAJÁS;179958,26;-;19163,84;145;73;14506 
AM;EIRUNEPÉ;108039,06;-;17818,33;209;105;20882 
AM;ENVIRA;108039,06;-;10803,91;112;56;11244 
AM;FONTE BOA;278038,11;-;23702,69;147;74;14677 
AM;GUAJARÁ;108039,06;-;10803,91;94;47;9392 
AM;HUMAITÁ;108039,06;-;18820,21;288;144;28782 
AM;IPIXUNA;108039,06;-;10803,91;107;54;10677 
AM;IRANDUBA;323402,45;-;54213,43;270;135;26980 
AM;ITACOATIARA;321781,05;-;62044,59;332;166;62343 
AM;ITAMARATI;199438,00;-;10803,91;65;33;6529 
AM;ITAPIRANGA;108039,06;-;10803,91;71;36;7128 
AM;JAPURÁ;108039,06;-;10803,91;44;22;4438 
AM;JURUÁ;207169,50;-;10803,91;70;35;6993 
AM;JUTAÍ;108039,06;-;10803,91;117;59;11728 
AM;LÁBREA;204736,41;-;22279,94;232;116;23231 
AM;MANACAPURU;840371,33;-;31554,28;332;166;61793 
AM;MANAQUIRI;570533,72;-;19917,58;129;65;12920 
AM;MANAUS;8977801,98;2693340,59;551706,39;1527;428;1257129 
AM;MANICORÉ;332769,83;-;25088,02;281;141;28111 
AM;MARAÃ;196710,63;-;10803,91;95;48;9477 
AM;MAUÉS;308079,43;-;33146,03;300;150;30117 
AM;NHAMUNDÁ;108039,06;-;10803,91;129;65;12851 
AM;NOVA OLINDA DO NORTE;266157,98;-;14043,99;167;84;16672 
AM;NOVO AIRÃO;108039,06;-;17445,96;99;50;9899 
AM;NOVO ARIPUANÃ;108039,06;-;14044,93;120;60;11989 
AM;PARINTINS;547735,41;-;74211,54;334;167;64044 
AM;PAUINI;108039,06;-;15994,37;99;50;9851 
AM;PRESIDENTE FIGUEIREDO;586380,04;-;125903,05;210;105;21006 
AM;RIO PRETO DA EVA;405017,64;-;24681,62;141;71;14112 
AM;SANTA ISABEL DO RIO NEGRO;166784,93;-;10803,91;75;38;7467 
AM;SANTO ANTÔNIO DO IÇÁ;154809,30;-;14023,39;132;66;13159 
AM;SÃO GABRIEL DA CACHOEIRA;108039,06;-;26073,06;288;144;28756 
AM;SÃO PAULO DE OLIVENÇA;206793,80;-;10803,91;159;80;15918 
AM;SÃO SEBASTIÃO DO UATUMÃ;108039,06;-;10803,91;62;31;6153 
AM;SILVES;108039,06;-;10803,91;70;35;6970 
AM;TABATINGA;339696,29;-;18352,04;300;150;30111 
AM;TAPAUÁ;108039,06;-;10803,91;121;61;12122 
AM;TEFÉ;748814,91;-;19850,17;309;155;39297 
AM;TONANTINS;237381,41;-;10803,91;89;45;8913 
AM;UARINI;204517,60;-;10803,91;74;37;7391 
AM;URUCARÁ;192431,70;-;10803,91;114;57;11395 
AM;URUCURITUBA;108039,06;-;16900,73;120;60;12020 
AP;PEDRA BRANCA DO AMAPARI;108039,06;-;19433,50;83;42;8316 
AP;AMAPÁ;108039,06;-;10803,91;60;30;6026 
