;Eleição;Localidade;Cargo;Eleitorado;Comparecimento;Abstenção;Abst. Percentual
;2016 - 1º Turno;ÁGUA BRANCA;Prefeito;7578;6193;1385;18,28
;2016 - 1º Turno;ÁGUA BRANCA;Vereador;7578;6193;1385;18,28
;2016 - 1º Turno;AGUIAR;Prefeito;4427;3937;490;11,07
;2016 - 1º Turno;AGUIAR;Vereador;4427;3937;490;11,07
;2016 - 1º Turno;ALAGOA GRANDE;Prefeito;24020;17689;6331;26,36
;2016 - 1º Turno;ALAGOA GRANDE;Vereador;24020;17689;6331;26,36
;2016 - 1º Turno;ALAGOA NOVA;Prefeito;14336;12857;1479;10,32
;2016 - 1º Turno;ALAGOA NOVA;Vereador;14336;12857;1479;10,32
;2016 - 1º Turno;ALAGOINHA;Prefeito;11534;9326;2208;19,14
;2016 - 1º Turno;ALAGOINHA;Vereador;11534;9326;2208;19,14
;2016 - 1º Turno;ALCANTIL;Prefeito;4226;4069;157;3,72
;2016 - 1º Turno;ALCANTIL;Vereador;4226;4069;157;3,72
;2016 - 1º Turno;ALGODÃO DE JANDAÍRA;Prefeito;2688;2580;108;4,02
;2016 - 1º Turno;ALGODÃO DE JANDAÍRA;Vereador;2688;2580;108;4,02
;2016 - 1º Turno;ALHANDRA;Prefeito;18009;15932;2077;11,53
;2016 - 1º Turno;ALHANDRA;Vereador;18009;15932;2077;11,53
;2016 - 1º Turno;AMPARO;Prefeito;2193;2119;74;3,37
;2016 - 1º Turno;AMPARO;Vereador;2193;2119;74;3,37
;2016 - 1º Turno;APARECIDA;Prefeito;6336;5989;347;5,48
;2016 - 1º Turno;APARECIDA;Vereador;6336;5989;347;5,48
;2016 - 1º Turno;ARAÇAGI;Prefeito;12664;11411;1253;9,89
;2016 - 1º Turno;ARAÇAGI;Vereador;12664;11411;1253;9,89
;2016 - 1º Turno;ARARA;Prefeito;9706;7095;2611;26,90
;2016 - 1º Turno;ARARA;Vereador;9706;7095;2611;26,90
;2016 - 1º Turno;ARARUNA;Prefeito;14098;10967;3131;22,21
;2016 - 1º Turno;ARARUNA;Vereador;14098;10967;3131;22,21
;2016 - 1º Turno;AREIA;Prefeito;19585;15701;3884;19,83
;2016 - 1º Turno;AREIA;Vereador;19585;15701;3884;19,83
;2016 - 1º Turno;AREIA DE BARAÚNAS;Prefeito;1763;1677;86;4,88
;2016 - 1º Turno;AREIA DE BARAÚNAS;Vereador;1763;1677;86;4,88
;2016 - 1º Turno;AREIAL;Prefeito;5316;4979;337;6,34
;2016 - 1º Turno;AREIAL;Vereador;5316;4979;337;6,34
;2016 - 1º Turno;AROEIRAS;Prefeito;16604;13234;3370;20,30
;2016 - 1º Turno;AROEIRAS;Vereador;16604;13234;3370;20,30
;2016 - 1º Turno;ASSUNÇÃO;Prefeito;3483;3227;256;7,35
;2016 - 1º Turno;ASSUNÇÃO;Vereador;3483;3227;256;7,35
;2016 - 1º Turno;BAÍA DA TRAIÇÃO;Prefeito;6716;5755;961;14,31
;2016 - 1º Turno;BAÍA DA TRAIÇÃO;Vereador;6716;5755;961;14,31
;2016 - 1º Turno;BANANEIRAS;Prefeito;15881;14390;1491;9,39
;2016 - 1º Turno;BANANEIRAS;Vereador;15881;14390;1491;9,39
;2016 - 1º Turno;BARAÚNA;Prefeito;4372;3725;647;14,80
;2016 - 1º Turno;BARAÚNA;Vereador;4372;3725;647;14,80
;2016 - 1º Turno;BARRA DE SANTA ROSA;Prefeito;11332;9301;2031;17,92
;2016 - 1º Turno;BARRA DE SANTA ROSA;Vereador;11332;9301;2031;17,92
;2016 - 1º Turno;BARRA DE SANTANA;Prefeito;6801;6396;405;5,96
;2016 - 1º Turno;BARRA DE SANTANA;Vereador;6801;6396;405;5,96
;2016 - 1º Turno;BARRA DE SÃO MIGUEL;Prefeito;4633;4434;199;4,30
;2016 - 1º Turno;BARRA DE SÃO MIGUEL;Vereador;4633;4434;199;4,30
;2016 - 1º Turno;BAYEUX;Prefeito;66455;62272;4183;6,29
;2016 - 1º Turno;BAYEUX;Vereador;66455;62272;4183;6,29
;2016 - 1º Turno;BELÉM;Prefeito;14139;11212;2927;20,70
;2016 - 1º Turno;BELÉM;Vereador;14139;11212;2927;20,70
;2016 - 1º Turno;BELÉM DO BREJO DO CRUZ;Prefeito;6032;5323;709;11,75
;2016 - 1º Turno;BELÉM DO BREJO DO CRUZ;Vereador;6032;5323;709;11,75
;2016 - 1º Turno;BERNARDINO BATISTA;Prefeito;2846;2367;479;16,83
;2016 - 1º Turno;BERNARDINO BATISTA;Vereador;2846;2367;479;16,83
;2016 - 1º Turno;BOA VENTURA;Prefeito;4917;4488;429;8,72
;2016 - 1º Turno;BOA VENTURA;Vereador;4917;4488;429;8,72
;2016 - 1º Turno;BOA VISTA;Prefeito;5628;5297;331;5,88
;2016 - 1º Turno;BOA VISTA;Vereador;5628;5297;331;5,88
;2016 - 1º Turno;BOM JESUS;Prefeito;3205;2850;355;11,08
;2016 - 1º Turno;BOM JESUS;Vereador;3205;2850;355;11,08
;2016 - 1º Turno;BOM SUCESSO;Prefeito;4423;3830;593;13,41
;2016 - 1º Turno;BOM SUCESSO;Vereador;4423;3830;593;13,41
;2016 - 1º Turno;BONITO DE SANTA FÉ;Prefeito;8180;6246;1934;23,64
;2016 - 1º Turno;BONITO DE SANTA FÉ;Vereador;8180;6246;1934;23,64
;2016 - 1º Turno;BOQUEIRÃO;Prefeito;13331;12427;904;6,78
;2016 - 1º Turno;BOQUEIRÃO;Vereador;13331;12427;904;6,78
;2016 - 1º Turno;BORBOREMA;Prefeito;4151;3851;300;7,23
;2016 - 1º Turno;BORBOREMA;Vereador;4151;3851;300;7,23
;2016 - 1º Turno;BREJO DO CRUZ;Prefeito;10151;8706;1445;14,24
;2016 - 1º Turno;BREJO DO CRUZ;Vereador;10151;8706;1445;14,24
;2016 - 1º Turno;BREJO DOS SANTOS;Prefeito;5868;5269;599;10,21
;2016 - 1º Turno;BREJO DOS SANTOS;Vereador;5868;5269;599;10,21
;2016 - 1º Turno;CAAPORÃ;Prefeito;17428;14786;2642;15,16
;2016 - 1º Turno;CAAPORÃ;Vereador;17428;14786;2642;15,16
;2016 - 1º Turno;CABACEIRAS;Prefeito;4215;4025;190;4,51
;2016 - 1º Turno;CABACEIRAS;Vereador;4215;4025;190;4,51
;2016 - 1º Turno;CABEDELO;Prefeito;44293;37563;6730;15,19
;2016 - 1º Turno;CABEDELO;Vereador;44293;37563;6730;15,19
;2016 - 1º Turno;CACHOEIRA DOS ÍNDIOS;Prefeito;7605;6390;1215;15,98
;2016 - 1º Turno;CACHOEIRA DOS ÍNDIOS;Vereador;7605;6390;1215;15,98
;2016 - 1º Turno;CACIMBA DE AREIA;Prefeito;3310;3097;213;6,44
;2016 - 1º Turno;CACIMBA DE AREIA;Vereador;3310;3097;213;6,44
;2016 - 1º Turno;CACIMBA DE DENTRO;Prefeito;14228;11448;2780;19,54
;2016 - 1º Turno;CACIMBA DE DENTRO;Vereador;14228;11448;2780;19,54
;2016 - 1º Turno;CACIMBAS;Prefeito;5168;4667;501;9,69
;2016 - 1º Turno;CACIMBAS;Vereador;5168;4667;501;9,69
;2016 - 1º Turno;CAIÇARA;Prefeito;6009;5439;570;9,49
;2016 - 1º Turno;CAIÇARA;Vereador;6009;5439;570;9,49
;2016 - 1º Turno;CAJAZEIRAS;Prefeito;45415;36762;8653;19,05
;2016 - 1º Turno;CAJAZEIRAS;Vereador;45415;36762;8653;19,05
;2016 - 1º Turno;CAJAZEIRINHAS;Prefeito;3321;3142;179;5,39
;2016 - 1º Turno;CAJAZEIRINHAS;Vereador;3321;3142;179;5,39
;2016 - 1º Turno;CALDAS BRANDÃO;Prefeito;5361;4488;873;16,28
;2016 - 1º Turno;CALDAS BRANDÃO;Vereador;5361;4488;873;16,28
;2016 - 1º Turno;CAMALAÚ;Prefeito;5042;4711;331;6,56
;2016 - 1º Turno;CAMALAÚ;Vereador;5042;4711;331;6,56
;2016 - 1º Turno;CAMPINA GRANDE;Prefeito;274004;247816;26188;9,56
;2016 - 1º Turno;CAMPINA GRANDE;Vereador;274004;247816;26188;9,56
;2016 - 1º Turno;CAPIM;Prefeito;5529;5040;489;8,84
;2016 - 1º Turno;CAPIM;Vereador;5529;5040;489;8,84
;2016 - 1º Turno;CARAÚBAS;Prefeito;3737;3529;208;5,57
;2016 - 1º Turno;CARAÚBAS;Vereador;3737;3529;208;5,57
;2016 - 1º Turno;CARRAPATEIRA;Prefeito;2371;2123;248;10,46
;2016 - 1º Turno;CARRAPATEIRA;Vereador;2371;2123;248;10,46
;2016 - 1º Turno;CASSERENGUE;Prefeito;6215;4770;1445;23,25
;2016 - 1º Turno;CASSERENGUE;Vereador;6215;4770;1445;23,25
;2016 - 1º Turno;CATINGUEIRA;Prefeito;4360;3977;383;8,78
;2016 - 1º Turno;CATINGUEIRA;Vereador;4360;3977;383;8,78
;2016 - 1º Turno;CATOLÉ DO ROCHA;Prefeito;21818;18391;3427;15,71
;2016 - 1º Turno;CATOLÉ DO ROCHA;Vereador;21818;18391;3427;15,71
;2016 - 1º Turno;CATURITÉ;Prefeito;4240;4085;155;3,66
;2016 - 1º Turno;CATURITÉ;Vereador;4240;4085;155;3,66
;2016 - 1º Turno;CONCEIÇÃO;Prefeito;14616;12074;2542;17,39
;2016 - 1º Turno;CONCEIÇÃO;Vereador;14616;12074;2542;17,39
;2016 - 1º Turno;CONDADO;Prefeito;5780;4800;980;16,96
;2016 - 1º Turno;CONDADO;Vereador;5780;4800;980;16,96
;2016 - 1º Turno;CONDE;Prefeito;19922;17867;2055;10,32
;2016 - 1º Turno;CONDE;Vereador;19922;17867;2055;10,32
;2016 - 1º Turno;CONGO;Prefeito;4441;4133;308;6,94
;2016 - 1º Turno;CONGO;Vereador;4441;4133;308;6,94
;2016 - 1º Turno;COREMAS;Prefeito;12462;9976;2486;19,95
;2016 - 1º Turno;COREMAS;Vereador;12462;9976;2486;19,95
;2016 - 1º Turno;COXIXOLA;Prefeito;1742;1625;117;6,72
;2016 - 1º Turno;COXIXOLA;Vereador;1742;1625;117;6,72
;2016 - 1º Turno;CRUZ DO ESPÍRITO SANTO;Prefeito;15518;13585;1933;12,46
;2016 - 1º Turno;CRUZ DO ESPÍRITO SANTO;Vereador;15518;13585;1933;12,46
;2016 - 1º Turno;CUBATI;Prefeito;5977;5547;430;7,19
;2016 - 1º Turno;CUBATI;Vereador;5977;5547;430;7,19
;2016 - 1º Turno;CUITÉ;Prefeito;17013;13922;3091;18,17
;2016 - 1º Turno;CUITÉ;Vereador;17013;13922;3091;18,17
;2016 - 1º Turno;CUITÉ DE MAMANGUAPE;Prefeito;6582;5900;682;10,36
;2016 - 1º Turno;CUITÉ DE MAMANGUAPE;Vereador;6582;5900;682;10,36
;2016 - 1º Turno;CUITEGI;Prefeito;5380;4849;531;9,87
;2016 - 1º Turno;CUITEGI;Vereador;5380;4849;531;9,87
;2016 - 1º Turno;CURRAL DE CIMA;Prefeito;4592;4274;318;6,93
;2016 - 1º Turno;CURRAL DE CIMA;Vereador;4592;4274;318;6,93
;2016 - 1º Turno;CURRAL VELHO;Prefeito;2022;1867;155;7,67
;2016 - 1º Turno;CURRAL VELHO;Vereador;2022;1867;155;7,67
;2016 - 1º Turno;DAMIÃO;Prefeito;4688;3957;731;15,59
;2016 - 1º Turno;DAMIÃO;Vereador;4688;3957;731;15,59
;2016 - 1º Turno;DESTERRO;Prefeito;6125;5694;431;7,04
;2016 - 1º Turno;DESTERRO;Vereador;6125;5694;431;7,04
;2016 - 1º Turno;DIAMANTE;Prefeito;5218;4812;406;7,78
;2016 - 1º Turno;DIAMANTE;Vereador;5218;4812;406;7,78
;2016 - 1º Turno;DONA INÊS;Prefeito;7933;7262;671;8,46
;2016 - 1º Turno;DONA INÊS;Vereador;7933;7262;671;8,46
;2016 - 1º Turno;DUAS ESTRADAS;Prefeito;3696;3097;599;16,21
;2016 - 1º Turno;DUAS ESTRADAS;Vereador;3696;3097;599;16,21
;2016 - 1º Turno;EMAS;Prefeito;3001;2783;218;7,26
;2016 - 1º Turno;EMAS;Vereador;3001;2783;218;7,26
;2016 - 1º Turno;ESPERANÇA;Prefeito;22885;21026;1859;8,12
;2016 - 1º Turno;ESPERANÇA;Vereador;22885;21026;1859;8,12
;2016 - 1º Turno;FAGUNDES;Prefeito;10204;8118;2086;20,44
;2016 - 1º Turno;FAGUNDES;Vereador;10204;8118;2086;20,44
;2016 - 1º Turno;FREI MARTINHO;Prefeito;2907;2564;343;11,80
;2016 - 1º Turno;FREI MARTINHO;Vereador;2907;2564;343;11,80
;2016 - 1º Turno;GADO BRAVO;Prefeito;7407;6170;1237;16,70
;2016 - 1º Turno;GADO BRAVO;Vereador;7407;6170;1237;16,70
