;Ano;Turno;Localidade;Cargo;Nº;Candidato;Nome Urna;Partido / Coligação;Votação;Situação
;2016;1º Turno;ÁGUA BRANCA;Prefeito;15;EVERTON FIRMINO BATISTA;TOM;PMDB;2974;Eleito
;2016;1º Turno;ÁGUA BRANCA;Prefeito;40;TARCISIO ALVES FIRMINO;TARCISIO;PSB / O TRABALHO NÃO PODE PARAR;2859;Não eleito
;2016;1º Turno;ÁGUA BRANCA;Vereador;11111;EDILSON SOARES BATISTA;CIGANO;PP / O TRABALHO NÃO PODE PARAR;938;Eleito por QP
;2016;1º Turno;ÁGUA BRANCA;Vereador;25555;PEDRO JORGE OLIVEIRA GAMA;PEDRO JORGE;DEM / O TRABALHO NÃO PODE PARAR;476;Eleito por QP
;2016;1º Turno;ÁGUA BRANCA;Vereador;15123;WELITOM CORREIA DE SOUSA;TINTIM;PMDB;440;Eleito por QP
;2016;1º Turno;ÁGUA BRANCA;Vereador;90111;LUIZ GUSTAVO ANDRADE;GUSTAVO DE MIRA;PROS / O TRABALHO NÃO PODE PARAR;392;Eleito por QP
;2016;1º Turno;ÁGUA BRANCA;Vereador;15444;JOSE CORREIA DE LIMA;NILO FERREIRO;PMDB;378;Eleito por QP
;2016;1º Turno;ÁGUA BRANCA;Vereador;25608;MARLUCE PEREIRA VERAS DE;MARLUCE;DEM / O TRABALHO NÃO PODE PARAR;372;Eleito por QP
;2016;1º Turno;ÁGUA BRANCA;Vereador;40222;JOSE NERY MOURA;NERY;PSB / O TRABALHO NÃO PODE PARAR;361;Eleito por QP
;2016;1º Turno;ÁGUA BRANCA;Vereador;15111;MARIA DO DESTERRO SOUZA;MARIA DE DAMIÃO;PMDB;351;Eleito por QP
;2016;1º Turno;ÁGUA BRANCA;Vereador;90123;AKACIO PEREIRA DE LIMA;KACIN DA;PROS / O TRABALHO NÃO PODE PARAR;269;Eleito por 
;2016;1º Turno;ÁGUA BRANCA;Vereador;90333;GENILDO VIEIRA DE ANDRADE;GENILDO VIEIRA;PROS / O TRABALHO NÃO PODE PARAR;208;Suplente
