COD_MUNICIPIO_TSE;UF;MUNICIPIO;ELEITORADO APTO;FEMININO;MASCULINO;NÃO INFORMADO;16 ANOS;17 ANOS;18 A 20 ANOS;21 A 24 ANOS;25 A 34 ANOS;35 A 44 ANOS;45 A 59 ANOS;60 A 69 ANOS;70 A 79 ANOS;SUPERIOR A 79 ANOS;INVÁLIDA
1120;AC;ACRELÂNDIA;9506;4526;4980;0;111;168;674;1007;2239;1962;1954;825;367;198;1
1570;AC;ASSIS BRASIL;5505;2752;2753;0;67;84;432;656;1461;1137;988;410;196;74;0
1058;AC;BRASILÉIA;17613;8775;8838;0;159;257;1260;1843;4156;3603;3618;1429;752;536;0
1007;AC;BUJARI;7888;3833;4055;0;116;178;669;826;1898;1666;1543;649;285;58;0
1015;AC;CAPIXABA;7882;3643;4239;0;129;230;641;815;1688;1615;1736;618;288;122;0
1074;AC;CRUZEIRO DO SUL;54101;27740;26361;0;879;1325;5126;6100;13557;10956;9245;3530;2073;1308;2
1112;AC;EPITACIOLÂNDIA;11559;5836;5723;0;145;191;909;1155;2694;2357;2353;901;531;322;1
1139;AC;FEIJÓ;19739;9595;10143;1;233;486;1824;2351;4779;3903;3492;1346;810;509;6
1104;AC;JORDÃO;4724;2159;2565;0;104;179;557;622;1222;909;671;228;115;116;1
1090;AC;MÂNCIO LIMA;11981;5934;6046;1;265;372;1144;1346;3081;2387;1971;748;432;235;0
1554;AC;MANOEL URBANO;6711;3147;3564;0;142;179;627;792;1628;1323;1137;435;248;199;1
1040;AC;MARECHAL THAUMATURGO;9458;4386;5072;0;191;293;1050;1272;2579;1761;1367;471;287;184;3
1511;AC;PLÁCIDO DE CASTRO;13586;6526;7060;0;237;297;1082;1403;3043;2650;2781;1101;588;404;0
1023;AC;PORTO ACRE;11331;5498;5833;0;170;315;966;1127;2490;2296;2461;1024;397;84;1
1066;AC;PORTO WALTER;5884;2777;3107;0;190;215;657;700;1612;1167;875;282;133;53;0
1392;AC;RIO BRANCO;241196;128470;112726;0;1018;2202;17482;26119;62656;53351;50009;17611;7666;3074;8
1082;AC;RODRIGUES ALVES;11062;5397;5664;1;314;391;1166;1375;2771;2221;1700;639;332;153;0
1031;AC;SANTA ROSA DO PURUS;3157;1563;1594;0;61;101;301;408;880;580;465;189;85;86;1
1457;AC;SENA MADUREIRA;27557;13610;13946;1;378;615;2519;3201;6678;5580;4653;1979;1138;812;4
1538;AC;SENADOR GUIOMARD;16206;8253;7953;0;266;428;1439;1672;3754;3345;3318;1243;557;183;1
1473;AC;TARAUACÁ;24900;12099;12801;0;405;568;2377;3043;6292;4782;4229;1593;945;663;3
1490;AC;XAPURI;10906;5331;5575;0;160;233;1003;1207;2544;2105;2203;919;404;128;0
27014;AL;ÁGUA BRANCA;14518;7469;7049;0;216;331;1296;1566;3364;2610;2817;1264;828;225;1
27030;AL;ANADIA;12558;6595;5963;0;149;275;917;1285;2780;2376;2718;1176;623;259;0
27057;AL;ARAPIRACA;135998;75164;60834;0;844;1723;9161;13963;32689;28273;30204;12388;5519;1229;5
27073;AL;ATALAIA;30194;15523;14671;0;402;638;2350;3186;7224;6154;6208;2602;1088;333;9
