cd_Ugestora,dt_Ano,de_Ugestora,Eleito,classe,Candidato2016,DistanciaParaCapital,Media_Eleitores,nu_Contratos,nu_Dispensas,nu_Aditivo_Prazo,nu_Aditivo_Devolucao,nu_Aditivo_Valor,nu_Aditivos_Totais,nu_Convites,nu_Dispensas_Prop_Contratos,nu_Aditivo_Prazo_Prop_Contratos,nu_Aditivo_Devolucao_Prop_Contratos,nu_Aditivo_Valor_Prop_Contratos,nu_Aditivos_Totais_Prop_Contratos,nu_Convites_Prop_Contratos,nu_Contratos_Prop_Eleitores,nu_Dispensas_Prop_Eleitores,nu_Aditivo_Prazo_Prop_Eleitores,nu_Aditivo_Devolucao_Prop_Eleitores,nu_Aditivo_Valor_Prop_Eleitores,nu_Aditivos_Totais_Prop_Eleitores,nu_Convites_Prop_Eleitores
201001,2009,AGUA BRANCA,AROUDO FIRMINO BATISTA,NAO IRREGULAR,FALSE,373,6540,509,13,2,0,5,7,111,0.0255402750491159,0.00392927308447937,0,0.00982318271119843,0.0137524557956778,0.218074656188605,0.07782874617737,0.00198776758409786,0.000305810397553517,0,0.000764525993883792,0.00107033639143731,0.0169724770642202
201001,2013,AGUA BRANCA,TARCISIO ALVES FIRMINO,NAO IRREGULAR,FALSE,373,6540,447,16,60,1,65,126,24,0.0357941834451902,0.134228187919463,0.00223713646532438,0.145413870246085,0.281879194630872,0.0536912751677852,0.068348623853211,0.00244648318042813,0.00917431192660551,0.000152905198776758,0.0099388379204893,0.0192660550458716,0.0036697247706422
201002,2009,AGUIAR,MANOEL BATISTA GUEDES FILHO,NAO IRREGULAR,FALSE,435,4208,421,1,2,0,6,8,70,0.00237529691211401,0.00475059382422803,0,0.0142517814726841,0.0190023752969121,0.166270783847981,0.10004752851711,0.000237642585551331,0.000475285171102662,0,0.00142585551330798,0.00190114068441065,0.0166349809885932
201002,2013,AGUIAR,MANOEL BATISTA GUEDES FILHO,NAO IRREGULAR,FALSE,435,4208,317,5,68,0,73,141,3,0.0157728706624606,0.214511041009464,0,0.230283911671924,0.444794952681388,0.00946372239747634,0.0753326996197719,0.00118821292775665,0.0161596958174905,0,0.0173479087452471,0.0335076045627376,0.000712927756653992
201003,2009,ALAGOA GRANDE,JOAO BOSCO CARNEIRO JUNIOR,NAO IRREGULAR,FALSE,118,22070,198,11,0,0,0,0,49,0.0555555555555556,0,0,0,0,0.247474747474747,0.00897145446307204,0.000498414136837336,0,0,0,0,0.00222020842772995
201003,2013,ALAGOA GRANDE,HILDON REGIS NAVARRO FILHO,NAO IRREGULAR,FALSE,118,22070,318,19,16,0,23,39,14,0.059748427672956,0.050314465408805,0,0.0723270440251572,0.122641509433962,0.0440251572327044,0.0144086995922066,0.000860897145446307,0.000724966017217943,0,0.00104213864975079,0.00176710466696874,0.0006343452650657
201004,2009,ALAGOA NOVA,KLEBER HERCULANO DE MORAES,NAO IRREGULAR,FALSE,160,14568,742,24,5,0,21,26,504,0.032345013477089,0.00673854447439353,0,0.0283018867924528,0.0350404312668464,0.679245283018868,0.0509335529928611,0.00164744645799012,0.000343218012081274,0,0.00144151565074135,0.00178473366282262,0.0345963756177924
201004,2013,ALAGOA NOVA,KLEBER HERCULANO DE MORAES,NAO IRREGULAR,FALSE,160,14568,212,3,2,0,5,7,65,0.0141509433962264,0.00943396226415094,0,0.0235849056603774,0.0330188679245283,0.306603773584906,0.014552443712246,0.000205930807248764,0.00013728720483251,0,0.000343218012081274,0.000480505216913784,0.00446183415705656
201005,2009,ALAGOINHA,ALCIONE MARACAJA DE MORAIS BELTRAO,NAO IRREGULAR,FALSE,105,10123,292,7,0,0,0,0,106,0.023972602739726,0,0,0,0,0.363013698630137,0.0288452039909118,0.000691494616220488,0,0,0,0,0.0104712041884817
201005,2013,ALAGOINHA,ALCIONE MARACAJA DE MORAIS BELTRAO,NAO IRREGULAR,FALSE,105,10123,282,8,10,0,18,28,36,0.0283687943262411,0.0354609929078014,0,0.0638297872340425,0.099290780141844,0.127659574468085,0.0278573545391682,0.000790279561394843,0.000987849451743554,0,0.0017781290131384,0.00276597846488195,0.0035562580262768
